[19:27:36] [main/INFO]: Environment: authHost='https://authserver.mojang.com', accountsHost='https://api.mojang.com', sessionHost='https://sessionserver.mojang.com', name='PROD'
[19:27:36] [main/WARN]: Ambiguity between arguments [teleport, destination] and [teleport, targets] with inputs: [Player, 0123, @e, dd12be42-52a9-4a91-a8a1-11c01849e498]
[19:27:36] [main/WARN]: Ambiguity between arguments [teleport, location] and [teleport, destination] with inputs: [0.1 -0.5 .9, 0 0 0]
[19:27:36] [main/WARN]: Ambiguity between arguments [teleport, location] and [teleport, targets] with inputs: [0.1 -0.5 .9, 0 0 0]
[19:27:36] [main/WARN]: Ambiguity between arguments [teleport, targets] and [teleport, destination] with inputs: [Player, 0123, dd12be42-52a9-4a91-a8a1-11c01849e498]
[19:27:36] [main/WARN]: Ambiguity between arguments [teleport, targets, location] and [teleport, targets, destination] with inputs: [0.1 -0.5 .9, 0 0 0]
[19:27:36] [main/INFO]: Reloading ResourceManager: Default
[19:27:37] [Worker-Main-12/INFO]: Loaded 7 recipes
[19:27:37] [Worker-Main-12/INFO]: Loaded 927 advancements
[19:27:38] [Server thread/INFO]: Starting minecraft server version 1.16.1
[19:27:38] [Server thread/INFO]: Loading properties
[19:27:38] [Server thread/INFO]: Default game type: SURVIVAL
[19:27:38] [Server thread/INFO]: Generating keypair
[19:27:39] [Server thread/INFO]: Starting Minecraft server on *:25565
[19:27:39] [Server thread/INFO]: Using default channel type
[19:27:39] [Server thread/INFO]: Preparing level "world"
[19:27:45] [Server thread/INFO]: Preparing start region for dimension minecraft:overworld
[19:27:45] [Worker-Main-13/INFO]: Preparing spawn area: 0%
[19:27:45] [Worker-Main-13/INFO]: Preparing spawn area: 0%
[19:27:46] [Worker-Main-10/INFO]: Preparing spawn area: 0%
[19:27:47] [Worker-Main-8/INFO]: Preparing spawn area: 1%
[19:27:47] [Worker-Main-14/INFO]: Preparing spawn area: 1%
[19:27:47] [Worker-Main-11/INFO]: Preparing spawn area: 3%
[19:27:48] [Worker-Main-14/INFO]: Preparing spawn area: 6%
[19:27:48] [Worker-Main-13/INFO]: Preparing spawn area: 9%
[19:27:49] [Worker-Main-9/INFO]: Preparing spawn area: 10%
[19:27:49] [Worker-Main-14/INFO]: Preparing spawn area: 10%
[19:27:50] [Worker-Main-11/INFO]: Preparing spawn area: 14%
[19:27:50] [Worker-Main-12/INFO]: Preparing spawn area: 14%
[19:27:51] [Worker-Main-13/INFO]: Preparing spawn area: 22%
[19:27:51] [Worker-Main-10/INFO]: Preparing spawn area: 22%
[19:27:52] [Worker-Main-14/INFO]: Preparing spawn area: 22%
[19:27:52] [Worker-Main-11/INFO]: Preparing spawn area: 22%
[19:27:53] [Worker-Main-13/INFO]: Preparing spawn area: 34%
[19:27:53] [Worker-Main-13/INFO]: Preparing spawn area: 34%
[19:27:54] [Worker-Main-9/INFO]: Preparing spawn area: 34%
[19:27:54] [Worker-Main-8/INFO]: Preparing spawn area: 34%
[19:27:55] [Worker-Main-10/INFO]: Preparing spawn area: 45%
[19:27:55] [Worker-Main-13/INFO]: Preparing spawn area: 48%
[19:27:56] [Worker-Main-8/INFO]: Preparing spawn area: 48%
[19:27:56] [Worker-Main-9/INFO]: Preparing spawn area: 48%
[19:27:57] [Worker-Main-14/INFO]: Preparing spawn area: 64%
[19:27:57] [Worker-Main-13/INFO]: Preparing spawn area: 72%
[19:27:58] [Worker-Main-13/INFO]: Preparing spawn area: 79%
[19:27:59] [Worker-Main-8/INFO]: Preparing spawn area: 87%
[19:27:59] [Worker-Main-8/INFO]: Preparing spawn area: 93%
[19:27:59] [Server thread/INFO]: Time elapsed: 14309 ms
[19:27:59] [Server thread/INFO]: Done (20.410s)! For help, type "help"
